x_m,y_m,depth_m,seabed_z_m
65.42557025811769,-37.78646080052795,8.527,-8.527
215.3859474058163,-35.56006079982126,7.736,-7.736
365.3463245547834,-33.333660799905545,7.003,-7.003
514.4140804109178,-31.10726079998983,6.223,-6.223
664.3744575586164,-28.880860800074117,5.588,-5.588
814.3348347075835,-26.654460800158404,4.855,-4.855
-836.1219352162765,100.25033919978313,11.65,-11.65
-686.1615580685778,102.47673919969884,11.943,-11.943
-536.2011809208792,104.70313919961455,11.906,-11.906
-386.2408037719121,106.92953919953027,11.12,-11.12
-236.28042662421353,109.15593919944598,9.95,-9.95
-86.32004947524642,110.26913919979933,9.204,-9.204
62.74770638088794,112.49553919971504,8.387,-8.387
212.70808352858654,114.72193919963075,7.817,-7.817
362.66846067755364,116.94833919954647,7.113,-7.113
512.6288378252523,119.17473919946218,6.351,-6.351
662.5892149729509,121.40113920016887,5.73,-5.73
812.549592121918,123.62753920008458,5.151,-5.151
-837.907177801942,250.53233920002612,9.856,-9.856
-687.9468006542434,252.75873919994183,10.268,-10.268
-537.9864235052762,254.98513919985754,10.354,-10.354
-388.91866764914187,257.21153919977326,10.231,-10.231
-238.95829050144326,259.43793919968897,9.367,-9.367
-88.99791335247616,261.6643391996047,8.564,-8.564
60.96246379522245,263.8907391995204,7.932,-7.932
210.92284094418955,265.00393919987374,7.663,-7.663
360.8832180918882,267.23033919978946,7.158,-7.158
510.84359523958676,269.45673919970517,6.384,-6.384
660.8039723885539,271.6831391996209,5.826,-5.826
809.8717282446883,273.9095391995366,5.268,-5.268
-840.5850416791717,400.8143391994781,7.602,-7.602
-690.6246645314731,403.0407392001848,8.502,-8.502
-540.664287382506,405.26713920010053,9.176,-9.176
-390.7039102348074,407.49353920001624,10.234,-10.234
-240.74353308584028,409.71993919993196,9.742,-9.742
-90.78315593814166,411.94633919984767,8.94,-8.94
59.177221209556954,414.1727391997634,8.209,-8.209
209.13759835852406,416.3991391996791,7.773,-7.773
358.2053542146584,418.6255391995948,7.255,-7.255
508.16573136235706,419.73873919994816,6.756,-6.756
658.1261085113241,421.96513919986387,6.213,-6.213
808.0864856590227,424.1915391997796,5.518,-5.518
-842.3702842648372,551.0963391997211,6.616,-6.616
-692.40990711587,553.3227391996368,8.551,-8.551
-542.4495299681715,555.5491391995525,10.048,-10.048
-392.4891528192044,557.7755391994683,10.943,-10.943
-242.52877567150577,560.001939200175,10.774,-10.774
-93.4610198153714,562.2283392000907,10.037,-10.037
56.499357332327214,564.4547392000063,9.001,-9.001
206.4597344812943,566.6811391999221,8.24,-8.24
356.4201116289929,568.9075391998379,7.267,-7.267
506.38048877796,571.1339391997535,6.98,-6.98
656.3408659256587,573.3603391996692,6.544,-6.544
806.3012430746257,575.5867391995849,5.799,-5.799
-844.1555268492342,702.4915391995264,7.448,-7.448
-695.0877709943684,703.6047391998798,7.625,-7.625
-545.1273938454012,705.8311391997955,8.335,-8.335
-395.1670166977026,708.0575391997113,10.479,-10.479
-245.2066395487355,710.283939199627,11.181,-11.181
-95.2462624010369,712.5103391995426,10.763,-10.763
54.71411474793021,714.7367391994584,9.959,-9.959
204.67449189562882,716.9631392001651,8.735,-8.735
354.6348690445959,719.1895392000808,7.723,-7.723
504.59524619229455,721.4159391999965,7.251,-7.251
653.6630020484289,723.6423391999122,6.856,-6.856
803.6233791961275,725.8687391998279,6.156,-6.156
