ix,iy,x_m,y_m,depth_m,seabed_z_m
78,0,-115.39041326325673,-808.8565064513898,7.957459521939677,-7.957459521939677
79,0,-106.11707666250834,-808.8565064513898,7.855363169346555,-7.855363169346555
80,0,-96.84374006176006,-808.8565064513898,7.751028544969299,-7.751028544969299
81,0,-87.57040346101155,-808.8565064513898,7.645630741494575,-7.645630741494575
82,0,-78.29706686026304,-808.8565064513898,7.5402329380198525,-7.5402329380198525
83,0,-69.02373025951476,-808.8565064513898,7.432937820539755,-7.432937820539755
84,0,-59.75039365876626,-808.8565064513898,7.324514570407809,-7.324514570407809
85,0,-50.47705705801786,-808.8565064513898,7.216091320275863,-7.216091320275863
86,0,-41.203720457269355,-808.8565064513898,7.106395906246659,-7.106395906246659
87,0,-31.930383856521075,-808.8565064513898,6.995765077587119,-6.995765077587119
88,0,-22.657047255772568,-808.8565064513898,6.885134248927576,-6.885134248927576
89,0,-13.383710655024288,-808.8565064513898,6.7739114157298115,-6.7739114157298115
90,0,-4.1103740542757805,-808.8565064513898,6.662153868755581,-6.662153868755581
91,0,5.162962546472613,-808.8565064513898,6.550396321781352,-6.550396321781352
92,0,14.43629914722112,-808.8565064513898,6.438239427533901,-6.438239427533901
93,0,23.7096357479694,-808.8565064513898,6.325640398805387,-6.325640398805387
94,0,32.98297234871791,-808.8565064513898,6.213041370076871,-6.213041370076871
95,0,42.25630894946619,-808.8565064513898,6.099163738840558,-6.099163738840558
96,0,51.529645550214696,-808.8565064513898,5.9835472081936345,-5.9835472081936345
97,0,60.8029821509632,-808.8565064513898,5.867930677546712,-5.867930677546712
98,0,70.0763187517116,-808.8565064513898,5.7491653255474064,-5.7491653255474064
99,0,79.34965535245999,-808.8565064513898,5.625104228546366,-5.625104228546366
100,0,88.62299195320838,-808.8565064513898,5.501043131545325,-5.501043131545325
101,0,97.89632855395689,-808.8565064513898,5.372350663253185,-5.372350663253185
102,0,107.16966515470517,-808.8565064513898,5.2339079396113695,-5.2339079396113695
103,0,116.44300175545368,-808.8565064513898,5.0954652159695515,-5.0954652159695515
104,0,125.71633835620196,-808.8565064513898,4.95340606145815,-4.95340606145815
105,0,134.98967495695047,-808.8565064513898,4.801627748984731,-4.801627748984731
106,0,144.26301155769886,-808.8565064513898,4.649849436511314,-4.649849436511314
107,0,153.53634815844737,-808.8565064513898,4.4986037824503144,-4.4986037824503144
108,0,162.80968475919565,-808.8565064513898,4.349242919694795,-4.349242919694795
109,0,172.08302135994415,-808.8565064513898,4.199882056939273,-4.199882056939273
110,0,181.35635796069243,-808.8565064513898,4.055717726817729,-4.055717726817729
111,0,190.62969456144106,-808.8565064513898,3.937016406602658,-3.937016406602658
112,0,199.90303116218956,-808.8565064513898,3.8183150863875888,-3.8183150863875888
113,0,209.17636776293784,-808.8565064513898,3.7060321510040817,-3.7060321510040817
